word
ca
vā
na
no
mā
alaṃ
atha
atho
assu
kathaṃ
khalu
kno
tato
naṃ
pana
yathā
vata
ve
sudaṃ
seyyathidaṃ
hi
bhiyyo
saha
samma
tattha
tatra
tahiṃ
yattha
addhā
kāmaṃ
eva
kacci
nanu
kathaṃ
kiṃ
evaṃ
iti
yāva
tāva
sādhu
āma
puthu
visaṃ
nu
sace
yadi
ce
handa
sudaṃ
sudaṃ
yathā
tathā
seyyathāpi
aho
nāma
kira
kila
suṭṭhu
duṭṭhu
aññatra
puna
punaṃ
dhuvaṃ
tu
re
aṅga
viya
